leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
13,700,6,0.08,1,8,0.9,0.93,0.9617,0.5626,0.1983
25,700,6,0.1,1,6,0.25,0.97,0.8638,0.5235,0.1983
4,700,6,0.1,1,8,0.3,0.49,0.9479,0.533,0.1983
7,500,6,0.05,2,9,0.48,0.55,0.9171,0.4887,0.202
7,500,6,0.11,1,7,0.31,0.84,0.9264,0.5311,0.1983
25,500,6,0.1,1,6,0.87,0.54,0.9115,0.5358,0.1983
10,600,6,0.08,2,10,0.63,0.51,0.9659,0.4893,0.202
25,700,6,0.11,1,10,0.57,0.73,0.9702,0.5196,0.1983
25,600,6,0.11,2,7,0.54,0.72,0.9445,0.4882,0.202
25,600,6,0.05,2,7,0.4,0.67,0.8709,0.4938,0.202
7,700,6,0.11,3,8,0.2,0.64,0.9365,0.5594,0.2169
13,700,6,0.11,2,6,0.36,0.81,0.9312,0.4764,0.202
7,700,6,0.1,1,10,0.24,0.85,0.9493,0.5299,0.1983
13,500,6,0.1,2,8,0.61,0.92,0.9607,0.4565,0.202
25,500,6,0.1,2,8,0.42,0.99,0.9322,0.4741,0.202
25,600,6,0.11,2,6,0.86,0.82,0.9327,0.4653,0.202
10,600,6,0.08,3,6,0.55,0.54,0.9224,0.5596,0.2169
4,500,6,0.1,2,9,0.59,0.59,0.9662,0.448,0.202
4,700,6,0.08,3,6,0.2,0.84,0.9019,0.548,0.2169
7,500,6,0.1,1,10,0.69,0.7,0.9661,0.5532,0.1983
4,500,6,0.1,1,9,0.79,0.64,0.9629,0.5359,0.1983
13,500,6,0.1,1,10,0.52,0.88,0.9605,0.5248,0.1983
4,500,6,0.05,2,7,0.7,0.59,0.9089,0.487,0.202
10,600,6,0.1,1,7,0.32,0.64,0.9255,0.5331,0.1983
10,500,6,0.11,2,8,0.32,0.81,0.9419,0.4708,0.202
7,500,6,0.1,3,10,0.51,0.44,0.9599,0.5687,0.2169
13,500,6,0.1,1,9,0.52,0.86,0.9558,0.5261,0.1983
10,600,6,0.11,1,7,0.59,0.54,0.9563,0.5248,0.1983
10,500,6,0.08,2,7,0.59,0.69,0.9429,0.4593,0.202
