leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
25,500,6,0.08,2,9,0.81,0.75,0.9369,0.5315,0.202
13,600,6,0.11,2,10,0.81,0.56,0.9793,0.5066,0.202
25,600,6,0.1,2,6,0.67,0.78,0.9157,0.5049,0.202
4,700,6,0.08,2,6,0.88,0.53,0.9443,0.5099,0.202
10,700,6,0.05,3,7,0.87,0.52,0.9116,0.6295,0.2169
4,600,6,0.1,3,8,0.81,0.58,0.9683,0.6143,0.2169
4,700,6,0.05,1,8,0.33,0.44,0.9092,0.5273,0.1983
25,500,6,0.1,1,10,0.38,0.62,0.9295,0.4921,0.1983
7,500,6,0.11,3,7,0.55,0.69,0.9502,0.6233,0.2169
10,600,6,0.08,3,10,0.47,0.81,0.9554,0.629,0.2169
4,500,6,0.08,1,10,0.71,0.65,0.9558,0.515,0.1983
10,600,6,0.11,1,9,0.87,0.9,0.9768,0.5237,0.1983
10,500,6,0.08,3,9,0.2,0.68,0.8907,0.622,0.2169
4,700,6,0.1,2,9,0.3,0.4,0.9552,0.5287,0.202
13,700,6,0.1,3,6,0.62,0.42,0.9357,0.6051,0.2169
25,600,6,0.11,2,7,0.44,0.46,0.9244,0.5187,0.202
25,500,6,0.1,1,6,0.22,0.89,0.8292,0.4854,0.1983
10,600,6,0.05,3,6,0.78,0.76,0.8852,0.6281,0.2169
25,600,6,0.05,2,10,0.27,0.96,0.8784,0.5283,0.202
13,600,6,0.05,1,9,0.82,0.85,0.9312,0.5249,0.1983
7,500,6,0.05,2,8,0.22,0.4,0.857,0.5069,0.202
4,500,6,0.08,2,10,0.79,0.51,0.9576,0.5275,0.202
7,600,6,0.05,3,8,0.44,0.54,0.9128,0.6176,0.2169
25,700,6,0.08,1,9,0.61,0.56,0.952,0.5132,0.1983
4,700,6,0.08,2,7,0.23,0.92,0.925,0.5166,0.202
10,600,6,0.05,1,6,0.42,0.69,0.8735,0.5173,0.1983
7,700,6,0.11,1,8,0.29,0.76,0.9509,0.5393,0.1983
4,700,6,0.08,2,7,0.47,0.86,0.9559,0.5438,0.202
13,600,6,0.05,1,7,0.57,0.8,0.9037,0.5395,0.1983
7,700,6,0.08,2,9,0.68,0.88,0.9737,0.5161,0.202
7,500,6,0.11,3,8,0.89,0.88,0.9641,0.6097,0.2169
4,500,6,0.05,2,10,0.78,0.55,0.9273,0.528,0.202
4,500,6,0.1,2,10,0.67,0.88,0.9723,0.5086,0.202
10,700,6,0.05,3,8,0.6,0.77,0.9339,0.6386,0.2169
7,500,6,0.05,2,6,0.46,0.95,0.8756,0.5229,0.202
10,700,6,0.1,1,6,0.65,0.47,0.9499,0.532,0.1983
10,500,6,0.11,1,10,0.69,0.88,0.973,0.5504,0.1983
25,600,6,0.1,3,6,0.82,0.86,0.9222,0.6133,0.2169
10,700,6,0.05,2,8,0.78,0.97,0.9407,0.5372,0.202
4,500,6,0.1,3,9,0.36,0.82,0.9469,0.6292,0.2169
25,600,6,0.08,2,9,0.77,0.74,0.9522,0.5237,0.202
13,600,6,0.11,1,10,0.32,0.92,0.952,0.5094,0.1983
13,700,6,0.08,2,9,0.8,0.83,0.9719,0.5244,0.202
4,500,6,0.11,3,6,0.89,0.62,0.9379,0.6215,0.2169
10,700,6,0.1,2,7,0.3,0.55,0.933,0.52,0.202
13,600,6,0.05,2,6,0.71,0.69,0.8805,0.5357,0.202
25,600,6,0.11,1,10,0.88,0.47,0.97,0.5099,0.1983
13,500,6,0.11,1,7,0.37,0.91,0.9248,0.5275,0.1983
4,700,6,0.05,1,10,0.41,0.81,0.935,0.5298,0.1983
10,700,6,0.05,2,6,0.73,0.74,0.9062,0.5108,0.202
13,500,6,0.05,3,6,0.41,0.5,0.843,0.6178,0.2169
25,700,6,0.1,1,8,0.71,0.94,0.9614,0.5131,0.1983
7,700,6,0.05,3,9,0.43,0.62,0.9323,0.6409,0.2169
7,600,6,0.08,1,10,0.26,0.42,0.9239,0.5196,0.1983
4,500,6,0.08,3,6,0.64,0.54,0.9154,0.6294,0.2169
25,700,6,0.11,1,6,0.84,0.91,0.9364,0.5287,0.1983
13,700,6,0.08,1,8,0.45,0.78,0.947,0.5324,0.1983
25,500,6,0.11,1,6,0.63,0.61,0.9109,0.5255,0.1983
10,500,6,0.11,2,8,0.52,0.58,0.9574,0.4922,0.202
13,500,6,0.11,3,7,0.54,0.9,0.9439,0.6177,0.2169
10,600,6,0.05,2,6,0.37,0.5,0.8612,0.5148,0.202
7,700,6,0.1,3,9,0.72,0.8,0.9783,0.6228,0.2169
25,700,6,0.05,2,10,0.4,0.6,0.9159,0.5125,0.202
7,600,6,0.05,2,6,0.61,0.45,0.8918,0.5171,0.202
25,600,6,0.08,1,10,0.76,0.88,0.9586,0.5415,0.1983
10,600,6,0.1,3,7,0.26,0.85,0.9111,0.6175,0.2169
10,700,6,0.11,3,10,0.6,0.51,0.9768,0.5993,0.2169
10,600,6,0.05,3,6,0.23,0.71,0.8288,0.6068,0.2169
10,700,6,0.1,1,7,0.38,0.77,0.9448,0.5263,0.1983
10,700,6,0.1,3,7,0.62,0.94,0.963,0.6146,0.2169
