min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
0,0.25,replacement,3,1300,0.15,4,0.9634679616908113,0.12337245242914374
1,0.0,replacement,3,600,0.15,4,0.8713971935708471,0.25625289184546085
2,0.2,replacement,3,1300,0.08,6,0.9880463360227246,0.2943212702583844
2,0.0,replacement,1,1300,0.12,10,0.9811413329535824,0.1440924953122371
0,0.0,removal,3,600,0.05,4,0.6983974116436114,0.3164669546881378
3,0.2,replacement,3,1000,0.08,10,0.9918913660695203,0.34017002279098096
3,0.0,replacement,2,1000,0.1,4,0.8993353825677528,0.39554352289409245
0,0.25,replacement,1,600,0.1,8,0.9648129267066964,0.12634039530798813
2,0.1,replacement,2,1600,0.12,6,0.9970484107033886,0.2572831520005545
2,0.1,replacement,2,1000,0.12,10,0.9962358528113455,0.2492021926455611
