min_CNLs,consensus_thres,consensus_alg,random_seed,tree,learn_rate,depth,accuracy_train,accuracy_test
3,0.0,replacement,2,800,0.1,8,0.9660176574335414,0.38366513103495303
1,0.0,removal,1,800,0.1,4,0.8610117319320132,0.23287619572699436
2,0.1,removal,3,1300,0.15,8,0.9856792119425049,0.2449677197555098
1,0.1,removal,2,1000,0.15,6,0.9708110431047663,0.35369096488621043
0,0.25,replacement,3,1600,0.15,10,0.9973895103505002,0.22817510632400173
1,0.2,removal,3,800,0.15,4,0.9035571955298954,0.20158116568542805
3,0.25,replacement,3,1600,0.08,6,0.9921613801482748,0.2976515813613809
3,0.2,replacement,1,1600,0.15,8,0.9990271536526953,0.3123458002235592
3,0.2,removal,3,600,0.15,10,0.9731914825524214,0.3168929411598259
2,0.0,replacement,2,1000,0.15,4,0.9294587906469085,0.1758093682917391
1,0.25,replacement,1,600,0.08,10,0.9667868712190992,0.23755103358079666
2,0.1,removal,1,1000,0.08,10,0.9645468103286952,0.21220622598166217
1,0.1,replacement,3,1600,0.05,8,0.9853594471154831,0.2631333987837585
3,0.2,removal,2,400,0.1,4,0.806720602668126,0.4314773299750053
2,0.2,replacement,1,600,0.12,8,0.9844141626356134,0.13718929538872493
1,0.0,removal,1,1000,0.08,8,0.9507272180455041,0.14310171366407742
1,0.0,removal,1,600,0.12,4,0.8495209944141106,0.242009258560402
3,0.25,replacement,2,600,0.08,6,0.9579190479308051,0.359735789294765
3,0.25,replacement,3,1600,0.12,10,0.9988584890911258,0.3046315255280382
2,0.1,replacement,1,1000,0.05,4,0.876871258741786,0.16459376970947104
1,0.1,replacement,1,600,0.1,10,0.9798837425506307,0.22906353327536322
2,0.1,replacement,2,800,0.1,10,0.9896908496928177,0.29131903403659265
1,0.0,removal,3,1000,0.1,6,0.9547272768492672,0.21714424440615476
1,0.2,replacement,3,800,0.08,8,0.978095074325946,0.2736239481866133
2,0.1,replacement,1,1600,0.12,10,0.9987058990168596,0.15744191609927438
1,0.2,removal,3,1000,0.05,10,0.9365591558150549,0.2243868197884593
1,0.0,replacement,2,1300,0.12,4,0.9181478751151307,0.33202385783913435
1,0.25,replacement,2,800,0.12,4,0.9222422823802012,0.25418853742329706
2,0.1,replacement,3,400,0.05,10,0.9101343748485773,0.41563257698887013
1,0.1,removal,1,1600,0.12,6,0.9750230837046376,-0.011339485982182262
2,0.0,removal,2,1000,0.12,8,0.975287851786147,0.13407262872895365
2,0.25,replacement,3,1000,0.05,10,0.9740424711479287,0.37610308293856987
0,0.0,replacement,1,400,0.08,10,0.8850711094409465,0.18156468867181796
0,0.25,replacement,3,1600,0.05,8,0.9775340428367266,0.280392310375318
2,0.25,removal,2,1600,0.15,10,0.9913053260971196,0.20115083992133487
2,0.1,removal,2,800,0.05,8,0.9203906197247378,0.31990327070629154
0,0.0,removal,3,1000,0.05,8,0.9102405414740626,0.19435674609485232
0,0.2,removal,3,1300,0.12,8,0.9667362868747598,-0.00623016053340808
2,0.25,removal,1,1000,0.15,8,0.9830012027367167,0.11674108177807341
0,0.0,removal,3,600,0.1,8,0.9249603007407944,0.17087304671850412
2,0.1,removal,2,400,0.08,4,0.7656150209932279,0.37819580805679365
3,0.25,replacement,3,1300,0.08,8,0.9939573466046074,0.3421944977752943
0,0.2,removal,2,600,0.05,8,0.8642847682387005,0.39976948931799594
3,0.25,replacement,3,1000,0.08,6,0.9802261944958969,0.31027440940617257
1,0.2,removal,1,1300,0.05,8,0.9453431670660472,0.1097857202098812
3,0.1,replacement,1,600,0.05,8,0.9463544765257623,0.32978861093799017
1,0.0,removal,2,400,0.1,4,0.7822487767898227,0.3578309135357939
2,0.2,removal,3,800,0.05,4,0.7898399339459111,0.3734788034273736
2,0.2,replacement,2,1000,0.1,8,0.9919893012255289,0.25958481311769377
3,0.25,removal,1,1300,0.08,4,0.9225584247359062,0.20154906635692305
0,0.2,replacement,2,600,0.08,6,0.9330944782180209,0.4046800084738481
3,0.0,replacement,1,1300,0.12,10,0.9857034763572337,0.1954395850402103
3,0.1,replacement,2,1300,0.1,6,0.9945918318214484,0.3554936247061905
1,0.25,removal,3,1300,0.12,4,0.9276104012642605,0.13748919066021859
0,0.1,removal,1,1600,0.08,10,0.9644603376790282,0.07969827833150356
1,0.1,removal,3,600,0.05,10,0.8949411462327538,0.2641384039307698
2,0.25,replacement,1,1600,0.08,10,0.9955716198910062,0.13139295081161828
1,0.1,removal,1,400,0.08,10,0.8946760618164515,0.2047846870992378
3,0.25,removal,3,600,0.15,8,0.972526229845465,0.3189752238907655
1,0.2,replacement,1,400,0.15,4,0.8854540080670208,0.24366802364963003
0,0.2,replacement,3,1000,0.15,4,0.9524971515599302,0.25237540756003773
2,0.25,replacement,2,800,0.08,6,0.9691171264249667,0.27463453707174545
3,0.2,replacement,2,400,0.05,6,0.8781293128849676,0.36404818069212164
1,0.0,removal,2,600,0.05,10,0.8929548967924381,0.34915080531313925
1,0.1,removal,2,400,0.05,10,0.854913163447581,0.3706237006854405
1,0.25,removal,3,400,0.12,8,0.9319750479015576,0.2042774538653377
2,0.0,removal,3,400,0.08,6,0.8684713398719874,0.39012487957450637
2,0.1,replacement,3,1300,0.08,8,0.9932801101479132,0.36514268104707204
2,0.1,removal,3,600,0.05,6,0.8626859132334993,0.38570680672882596
1,0.2,removal,2,400,0.08,10,0.9005558134737108,0.3480425177193014
3,0.25,replacement,3,1600,0.08,4,0.9584554892139536,0.291161820936532
0,0.1,removal,1,1300,0.05,4,0.8281935944987362,0.20887110014733756
0,0.25,removal,2,1300,0.12,8,0.966473162622576,0.31561354943327025
2,0.2,replacement,2,600,0.08,10,0.9727160302715958,0.2853650748451825
0,0.25,removal,1,1000,0.1,6,0.9449168948374417,0.12543371594213637
2,0.25,removal,1,1000,0.15,8,0.9830012027367167,0.11674108177807341
