min_CNLs,consensus_thres,consensus_alg,random_seed,tree,leaf,learn_rate,random_strength,max_depth,accuracy_train,accuracy_test
2,0.1,removal,2,200,40,0.05,2.0,12,0.6130859701736042,0.03360417924819992
2,0.25,replacement,2,200,7,0.05,1.0,16,0.6259049730030537,0.0504853091794627
3,0.1,removal,1,1600,7,0.1,1.0,16,0.804485101216726,0.17111387981381077
2,0.2,removal,1,1300,40,0.01,2.0,12,0.6291303250151803,0.3247212465246404
0,0.25,replacement,1,1600,4,0.15,1.2,7,0.8451657291460963,-0.12002699897077873
1,0.25,removal,2,400,7,0.1,1.5,7,0.7260482506675188,0.17331130538950512
2,0.2,replacement,2,1000,13,0.2,2.0,7,0.8502986543996087,-0.07620312378580474
0,0.25,replacement,3,1000,10,0.01,1.0,12,0.5946896115416317,0.3156473671227287
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
0,0.0,missing,0,0,0,0.0,0.0,0,0.0,0.0
