leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
25,600,6,0.01,2,5,0.41,0.47,0.6398,0.3643,0.2072
25,600,6,0.05,2,7,0.29,0.27,0.8275,0.429,0.2072
7,600,6,0.1,3,4,0.92,0.15,0.8596,0.5422,0.1985
10,800,6,0.1,3,4,0.28,0.12,0.8188,0.5621,0.1985
4,600,6,0.01,2,10,0.49,0.77,0.7344,0.3941,0.2072
25,800,6,0.01,1,5,0.09,0.32,0.5561,0.4458,0.1974
10,1000,6,0.01,3,9,0.12,0.31,0.711,0.5225,0.1985
4,600,6,0.08,3,4,0.58,0.28,0.8455,0.5687,0.1985
4,1000,6,0.01,2,10,0.9,0.14,0.7847,0.4132,0.2072
25,1000,6,0.05,1,8,0.21,0.6,0.8643,0.5463,0.1974
4,1000,6,0.01,2,6,0.3,0.8,0.7534,0.4109,0.2072
4,1000,6,0.01,2,8,0.88,0.29,0.7891,0.4119,0.2072
4,800,6,0.1,2,8,0.64,0.83,0.9797,0.403,0.2072
7,600,6,0.05,1,4,0.42,0.57,0.7967,0.5408,0.1974
25,800,6,0.01,3,10,0.19,0.19,0.6845,0.5067,0.1985
4,800,6,0.08,1,8,0.24,0.24,0.9262,0.5316,0.1974
25,600,6,0.1,2,10,0.25,0.59,0.917,0.4492,0.2072
13,600,6,0.05,1,6,0.33,0.54,0.8426,0.5419,0.1974
7,600,6,0.1,3,4,0.49,0.55,0.8608,0.5684,0.1985
10,600,6,0.05,1,9,0.29,0.16,0.8758,0.5166,0.1974
7,1000,6,0.05,2,4,0.57,0.61,0.8603,0.4443,0.2072
7,800,6,0.01,3,6,0.59,0.43,0.7221,0.5235,0.1985
13,600,6,0.1,2,9,0.55,0.75,0.967,0.434,0.2072
13,600,6,0.08,3,4,0.98,0.26,0.8423,0.5549,0.1985
13,600,6,0.01,3,6,1.0,0.47,0.6907,0.5133,0.1985
10,800,6,0.08,1,7,0.94,0.88,0.9599,0.511,0.1974
10,800,6,0.01,1,10,0.76,0.2,0.7484,0.5169,0.1974
7,600,6,0.1,3,8,0.51,0.53,0.9595,0.5994,0.1985
10,1000,6,0.08,1,7,0.09,0.34,0.8527,0.5354,0.1974
4,600,6,0.08,2,4,0.19,0.49,0.8001,0.4368,0.2072
25,1000,6,0.08,1,6,0.1,0.22,0.7843,0.523,0.1974
10,1000,6,0.01,1,5,0.24,0.78,0.6882,0.4986,0.1974
13,1000,6,0.01,3,8,0.52,0.69,0.7946,0.5551,0.1985
25,1000,6,0.08,3,6,0.32,0.06,0.8553,0.5792,0.1985
