leaves,trees,FP_type,learn_rate,state,depth,subsample,colsample_bylevel,accuracy_train,accuracy_test,actual_test_size
4,1000,6,0.05,2,9,0.24,0.82,0.9354,0.4405,0.2072
13,600,6,0.08,1,10,0.27,0.6,0.9261,0.5147,0.1974
25,1000,6,0.01,1,7,0.07,0.22,0.5966,0.41,0.1974
10,600,6,0.08,1,4,0.96,1.0,0.8591,0.5127,0.1974
10,1000,6,0.08,2,9,0.91,0.26,0.9824,0.4112,0.2072
4,800,6,0.05,1,9,0.49,0.06,0.9048,0.5003,0.1974
25,600,6,0.1,3,5,0.96,0.74,0.9009,0.59,0.1985
13,800,6,0.08,3,6,0.26,0.41,0.8787,0.5713,0.1985
13,800,6,0.08,1,10,0.96,0.66,0.9775,0.4829,0.1974
13,1000,6,0.1,3,5,0.72,0.37,0.9366,0.5908,0.1985
7,800,6,0.05,2,10,0.56,0.36,0.9507,0.4222,0.2072
4,800,6,0.01,3,4,0.88,0.99,0.6681,0.497,0.1985
25,600,6,0.05,1,5,0.24,0.9,0.7759,0.4739,0.1974
10,600,6,0.1,2,9,0.93,0.17,0.9689,0.4177,0.2072
13,600,6,0.1,2,7,0.9,0.87,0.9595,0.4296,0.2072
4,600,6,0.1,3,5,0.12,0.55,0.8302,0.5699,0.1985
7,600,6,0.1,1,10,0.65,0.31,0.9698,0.533,0.1974
10,800,6,0.08,2,5,0.42,0.86,0.904,0.4375,0.2072
13,800,6,0.08,2,7,0.27,0.1,0.8881,0.4232,0.2072
10,600,6,0.08,1,4,0.31,0.67,0.8168,0.5016,0.1974
10,600,6,0.05,2,5,0.11,0.99,0.7426,0.434,0.2072
13,1000,6,0.1,2,7,0.15,0.68,0.8985,0.4624,0.2072
7,600,6,0.01,1,4,0.2,0.67,0.594,0.411,0.1974
10,1000,6,0.01,3,6,0.05,0.81,0.6076,0.4786,0.1985
4,600,6,0.1,2,8,0.3,0.6,0.9459,0.4334,0.2072
10,600,6,0.1,3,7,0.85,0.75,0.9588,0.5886,0.1985
4,1000,6,0.01,3,7,0.72,0.22,0.7719,0.5392,0.1985
7,800,6,0.1,2,4,0.71,0.24,0.8953,0.431,0.2072
10,600,6,0.1,1,9,0.68,0.17,0.9604,0.4825,0.1974
7,600,6,0.08,2,5,0.71,0.77,0.9075,0.4336,0.2072
10,1000,6,0.08,2,10,0.86,0.83,0.9868,0.3756,0.2072
7,800,6,0.01,3,5,0.48,0.84,0.6999,0.5139,0.1985
25,1000,6,0.08,1,4,0.82,0.75,0.8869,0.4846,0.1974
7,800,6,0.08,2,4,0.32,0.37,0.8453,0.4413,0.2072
10,800,6,0.08,1,8,0.26,0.41,0.9234,0.5056,0.1974
13,800,6,0.08,3,7,0.67,0.69,0.9539,0.601,0.1985
7,800,6,0.05,1,10,0.23,0.64,0.912,0.5137,0.1974
4,800,6,0.1,2,8,0.58,0.97,0.9823,0.4044,0.2072
25,800,6,0.05,3,10,0.38,0.71,0.9181,0.5807,0.1985
4,1000,6,0.08,3,7,0.59,0.59,0.9695,0.5832,0.1985
7,600,6,0.08,3,10,0.95,0.91,0.9673,0.6008,0.1985
13,600,6,0.01,2,10,0.56,0.95,0.7538,0.3981,0.2072
10,1000,6,0.05,2,5,0.88,0.09,0.8795,0.4104,0.2072
25,800,6,0.01,1,4,0.66,0.82,0.657,0.4522,0.1974
10,1000,6,0.1,2,4,0.67,0.19,0.9013,0.4156,0.2072
4,600,6,0.05,2,9,0.63,0.21,0.924,0.4291,0.2072
10,600,6,0.1,1,4,0.27,0.61,0.8229,0.4876,0.1974
25,1000,6,0.05,3,8,0.48,0.87,0.9294,0.5924,0.1985
13,600,6,0.01,2,10,0.84,0.39,0.7348,0.3912,0.2072
13,600,6,0.08,2,8,0.54,0.32,0.942,0.4198,0.2072
25,1000,6,0.01,1,10,0.11,0.11,0.6599,0.4194,0.1974
4,1000,6,0.1,2,5,0.52,0.75,0.9518,0.4281,0.2072
7,800,6,0.01,1,9,0.66,0.75,0.7821,0.4854,0.1974
10,1000,6,0.1,1,5,0.96,0.4,0.9497,0.5169,0.1974
4,800,6,0.01,1,7,0.92,0.52,0.7566,0.4767,0.1974
4,800,6,0.05,3,10,0.73,0.38,0.9504,0.5921,0.1985
7,1000,6,0.05,1,5,0.55,0.86,0.9075,0.5019,0.1974
25,1000,6,0.01,3,9,0.64,0.6,0.8067,0.559,0.1985
