min_CNLs,consensus_thres,consensus_alg,random_seed,tree,leaf,learn_rate,random_strength,depth,accuracy_train,accuracy_test
2,0.0,replacement,3,800,40,0.05,2.5,3,0.5346799126908012,0.08664235100577611
1,0.0,removal,2,1300,40,0.15,1.2,5,0.7387496613252609,0.19975393442794642
1,0.25,removal,1,1000,13,0.05,1.0,2,0.46077418339860077,0.26226770823979706
2,0.1,replacement,1,200,4,0.05,1.0,5,0.4899465194544872,0.3096202671873708
2,0.0,removal,1,600,10,0.15,1.5,3,0.5971130663376156,0.28238316536800523
0,0.2,removal,1,800,7,0.05,1.2,2,0.44857863963761635,0.12044662653305527
2,0.25,replacement,3,1000,7,0.01,1.0,2,0.3548863965497919,0.1035756071832522
3,0.2,replacement,1,400,13,0.01,2.5,2,0.26980341855196244,0.1407000626522248
0,0.0,removal,2,600,7,0.2,1.0,3,0.6286423098316014,0.1262826242430405
1,0.0,replacement,1,800,4,0.1,1.2,7,0.7083011391064428,0.24777425473905834
0,0.0,replacement,3,200,10,0.15,1.5,5,0.5606232300551777,0.2886317639468067
3,0.0,removal,2,1600,40,0.01,1.5,2,0.3902537072770992,0.20337312873201985
1,0.1,replacement,3,600,10,0.05,2.5,3,0.5058898917197625,0.21525546489310288
3,0.1,removal,2,200,7,0.2,1.2,3,0.5353195208911925,0.1503989953452307
3,0.1,replacement,1,600,4,0.05,1.5,5,0.6117242041161739,0.23478479805986674
0,0.25,removal,2,1000,10,0.05,2.0,7,0.693172349533054,0.12128980925786426
2,0.1,replacement,2,1000,4,0.1,1.5,5,0.7272285512308032,0.04173318710173701
1,0.0,removal,1,600,7,0.15,2.0,3,0.5723137953829518,0.25493077003201725
0,0.25,removal,2,400,13,0.05,1.5,2,0.4109264906210459,0.15036218475775687
0,0.2,replacement,3,400,4,0.2,1.5,3,0.5860669044313573,0.28599439505084756
0,0.1,replacement,2,400,7,0.05,2.5,5,0.5518418528116829,0.2052958931088611
2,0.25,replacement,2,200,7,0.05,2.0,5,0.4657918090785904,0.10585301890790177
3,0.2,replacement,1,200,4,0.2,2.0,3,0.5519295651239644,0.21342593706731872
2,0.2,removal,3,800,10,0.15,2.0,7,0.7562210266563207,0.05074144603173847
2,0.25,removal,2,400,40,0.05,2.5,2,0.42353574388425075,0.1287395407716989
0,0.25,removal,2,200,13,0.01,1.0,3,0.25757375323996634,0.16412905659941335
1,0.25,removal,3,1600,40,0.01,1.0,3,0.45276820266602513,0.1827590841015162
0,0.2,removal,1,1300,10,0.01,1.2,2,0.35787876614772574,0.14330776965862757
3,0.25,removal,3,1300,13,0.2,1.5,5,0.7837174059465841,0.06552778754108046
3,0.1,removal,3,1000,13,0.15,1.0,7,0.7946776215638143,0.10250185201629014
0,0.1,removal,1,1000,4,0.1,1.0,7,0.7234783432300883,0.002616575357184736
1,0.1,removal,1,400,13,0.05,1.0,3,0.44299531063779163,0.28694597674239586
3,0.1,removal,2,1600,10,0.01,1.5,2,0.3925356022333091,0.20441700935259555
3,0.1,removal,3,600,10,0.15,1.2,2,0.5615839040357828,0.16784786215655634
0,0.0,replacement,2,1000,4,0.15,1.5,3,0.6440585078043151,0.10676395919310921
0,0.0,removal,2,600,40,0.05,2.0,5,0.591385620488828,0.15165810512403788
1,0.0,removal,2,1600,13,0.01,1.0,5,0.5182805546483558,0.3286136476383317
3,0.1,replacement,1,800,10,0.05,2.0,2,0.48524764499292183,0.20415073720999533
1,0.0,removal,2,800,40,0.1,1.0,2,0.5131887661048005,0.3158408516902341
0,0.0,replacement,2,1600,13,0.2,1.0,2,0.6286982010977116,0.11541992884825347
2,0.2,replacement,1,800,10,0.15,2.5,7,0.7963253832881478,0.25919546078892586
2,0.1,removal,1,200,4,0.1,1.0,5,0.54539441892572,0.3294841927823592
3,0.2,replacement,3,1000,13,0.01,1.0,2,0.3776747525317964,0.18654775082962205
