INCHIKEY,pH_aq,IE,IE_hat_CNL,class_CNL
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.364683857144854,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.364683857144854,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.4146340821534404,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.4146340821534404,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.4146340821534404,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.4146340821534404,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.411068123867587,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.405990784175252,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.447372859818104,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.510504988336954,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.564925294109073,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.355000157872744,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.296325595051,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.276833577696224,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.305369583533251,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.3254290592221416,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.4491938914812375,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.373901880035999,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.3836483375026893,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.4688531351625573,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.324090486920144,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.324917155419951,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.324917155419951,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.509891604688083,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.509891604688083,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.581605059341696,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.823336568483454,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.7769029444581688,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,3.914166666666667,2.599849499083333,2.7742559614700237,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.0870887211851725,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.0870887211851725,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.0870887211851725,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.0870887211851725,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.0870887211851725,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.1132954170854257,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.1132954170854257,train
CDAWCLOXVUBKRW-UHFFFAOYSA-N,6.022857142857143,2.4802300337142853,2.146722645465869,train
